id,n_victimas,aaaa,mm,dd,fecha,hora,hh,direccion_normalizada,comuna,tipo_calle,otra_direccion,calle,altura,cruce,geocodificacion_caba,longitud,latitud,victima,acusado,participantes,moto,auto,transporte_publico,camion,ciclista,gravedad,origen,lugar_del_hecho,tipo_de_calle,dirección normalizada,xy_caba,año,mes
LC-2020-0015351,1,2020,1,8,2020-01-08 00:00:00,21,21,"BERMUDEZ y MATURANA, JOSE DE",10,CALLE,SD,BERMUDEZ,0.0,"MATURANA, JOSE DE",Point (95686.223837088 101156.530221388),-58.510337198913,-34.618835304698,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0015414,1,2020,1,8,2020-01-08 00:00:00,10,10,"GIMENEZ, ANGEL M. y RIVADAVIA AV.",6,AVENIDA,SD,"GIMENEZ, ANGEL M.",0.0,RIVADAVIA AV.,Point (102343.349510702 101153.171461722),-58.437747876235,-34.618872331104,MOTO,CICLISTA,MOTO-CICLISTA,x,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0016458,1,2020,1,8,2020-01-08 00:00:00,15,15,CAÃ‘ADA DE GOMEZ y PERIBEBUY,9,CALLE,SD,CAÃ‘ADA DE GOMEZ,0.0,PERIBEBUY,Point (94622.1001284961 97982.9634914525),-58.521960742033,-34.647437946729,CICLISTA,CAMIONETA,CICLISTA-CAMIONETA,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0016995,1,2020,1,8,2020-01-08 00:00:00,20,20,"PUEYRREDON AV. y LEVENE, RICARDO, DR.",2,AVENIDA,SD,PUEYRREDON AV.,0.0,"LEVENE, RICARDO, DR.",Point (106402.586234964 104838.424079681),-58.393513505439,-34.585634832192,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0019258,1,2020,1,9,2020-01-09 00:00:00,16,16,GUZMAN AV. y ELCANO AV.,15,AVENIDA,SD,GUZMAN AV.,0.0,ELCANO AV.,Point (100272.313364866 104833.497107453),-58.460331410971,-34.585698833823,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0020243,1,2020,1,10,2020-01-10 00:00:00,10,10,"HONDURAS AV. y ACUÃ‘A DE FIGUEROA, FRANCISCO",14,AVENIDA,SD,HONDURAS AV.,0.0,"ACUÃ‘A DE FIGUEROA, FRANCISCO",Point (103874.909307791 103893.719637555),-58.421060074882,-34.594163324938,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0021470,1,2020,1,10,2020-01-10 00:00:00,10,10,"CALVO, CARLOS y TACUARI",1,CALLE,SD,"CALVO, CARLOS",0.0,TACUARI,Point (107758.653044419 101054.971570339),-58.37869851284,-34.619731174875,CICLISTA,CAMIONETA,CICLISTA-CAMIONETA,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0021881,1,2020,1,10,2020-01-10 00:00:00,18,18,LOYOLA y GURRUCHAGA,15,CALLE,SD,LOYOLA,0.0,GURRUCHAGA,Point (102408.682149119 103875.562891977),-58.437043038378,-34.594331404878,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0022552,1,2020,1,11,2020-01-11 00:00:00,8,8,"LACARRA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,AVENIDA,SD,LACARRA AV.,0.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Point (101222.864634897 96044.3439411509),-58.449958608829,-34.664927069505,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0023539,1,2020,1,11,2020-01-11 00:00:00,21,21,"CASTRO, EMILIO AV. y MURGUIONDO",9,AVENIDA,SD,"CASTRO, EMILIO AV.",0.0,MURGUIONDO,Point (95662.7765194608 97729.8348371465),-58.510610625883,-34.649724726312,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0024603,1,2020,1,12,2020-01-12 00:00:00,20,20,BELGRANO AV. y MISIONES,3,AVENIDA,SD,BELGRANO AV.,0.0,MISIONES,Point (105431.904002449 101626.27280278),-58.404073266087,-34.614596069049,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0026536,1,2020,1,13,2020-01-13 00:00:00,23,23,HUMBOLDT y HONDURAS,14,CALLE,SD,HUMBOLDT,0.0,HONDURAS,Point (102560.528895277 104924.852380959),-58.435390882598,-34.584872283738,CICLISTA,TAXI,CICLISTA-TAXI,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0026963,1,2020,1,13,2020-01-13 00:00:00,16,16,"ACHA, MARIANO, GRAL. y ARIAS",12,CALLE,SD,"ACHA, MARIANO, GRAL.",0.0,ARIAS,Point (97207.951129552 108632.595528819),-58.49371923265,-34.551448032631,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0027260,1,2020,1,13,2020-01-13 00:00:00,17,17,"RIVADAVIA AV. y JAURES, JEAN",3,AVENIDA,SD,RIVADAVIA AV.,0.0,"JAURES, JEAN",Point (104856.573955973 102087.782286676),-58.410348956136,-34.610438687577,CICLISTA,MOTO,CICLISTA-MOTO,x,0,0,0,x,sd,Lesiones,,,,,,
LC-2020-0030210,1,2020,1,15,2020-01-15 00:00:00,6,6,CASEROS AV. y DEFENSA,1,AVENIDA,SD,CASEROS AV.,0.0,DEFENSA,Point (108466.932415385 100287.298000458),-58.370967744576,-34.626645716885,CICLISTA,TRANSPORTE PUBLICO,CICLISTA-TRANSPORTE PUBLICO,0,0,x,0,x,SD,Lesiones,,,,,,
LC-2020-0031929,1,2020,1,15,2020-01-15 00:00:00,19,19,"LARRALDE, CRISOLOGO AV. y ZADO",12,AVENIDA,SD,"LARRALDE, CRISOLOGO AV.",0.0,ZADO,Point (96057.5497429674 106769.209230083),-58.506261843471,-34.568241676584,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0036502,1,2020,1,17,2020-01-17 00:00:00,16,16,LA RIOJA y CASEROS AV.,4,CALLE,SD,LA RIOJA,0.0,CASEROS AV.,Point (105289.659199484 99127.4618031136),-58.405608797816,-34.637122055018,CICLISTA,TRANSPORTE PUBLICO,CICLISTA-TRANSPORTE PUBLICO,0,0,x,0,x,SD,Lesiones,,,,,,
LC-2020-0036958,1,2020,1,17,2020-01-17 00:00:00,19,19,DEL LIBERTADOR AV. y ECHEVERRIA,13,AVENIDA,SD,DEL LIBERTADOR AV.,0.0,ECHEVERRIA,Point (101507.649075381 107946.371057755),-58.446871975618,-34.55763691552,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0037018,1,2020,1,17,2020-01-17 00:00:00,22,22,ARAOZ y JUFRE,15,CALLE,SD,ARAOZ,0.0,JUFRE,Point (102905.701652977 103641.649305667),-58.43162434387,-34.596438744474,CICLISTA,CAMIONETA,CICLISTA-CAMIONETA,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0041821,1,2020,1,20,2020-01-20 00:00:00,18,18,"LARRALDE, CRISOLOGO AV. y AMENABAR",13,AVENIDA,SD,"LARRALDE, CRISOLOGO AV.",0.0,AMENABAR,Point (99370.491926601 108787.534531834),-58.470157786089,-34.550055046949,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0042151,1,2020,1,20,2020-01-20 00:00:00,19,19,"NEWBERY, JORGE y ARCE",14,CALLE,SD,"NEWBERY, JORGE",0.0,ARCE,Point (102543.971725191 106777.161649474),-58.435576772485,-34.568174748982,CICLISTA,TRANSPORTE PUBLICO,CICLISTA-TRANSPORTE PUBLICO,0,0,x,0,x,SD,Lesiones,,,,,,
LC-2020-0044173,1,2020,1,21,2020-01-21 00:00:00,20,20,NUÃ‘EZ y SUPERI,12,CALLE,SD,NUÃ‘EZ,0.0,SUPERI,Point (98743.4203306789 108190.013154654),-58.476990665875,-34.555440794844,CICLISTA,TAXI,CICLISTA-TAXI,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0044261,1,2020,1,21,2020-01-21 00:00:00,14,14,"ENTRE RIOS AV. y YRIGOYEN, HIPOLITO",3,AVENIDA,SD,ENTRE RIOS AV.,0.0,"YRIGOYEN, HIPOLITO",Point (106550.674355904 102097.745269782),-58.391878429433,-34.610339553516,CICLISTA,TRANSPORTE PUBLICO,CICLISTA-TRANSPORTE PUBLICO,0,0,x,0,x,SD,Lesiones,,,,,,
LC-2020-0046459,1,2020,1,22,2020-01-22 00:00:00,14,14,PARANA y CORRIENTES AV.,1,CALLE,SD,PARANA,0.0,CORRIENTES AV.,Point (106915.615810587 102789.40353996),-58.387905106722,-34.604102286485,CICLISTA,MOTO,CICLISTA-MOTO,x,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0049943,1,2020,1,24,2020-01-24 00:00:00,22,22,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,AVENIDA,SD,"ACHAVAL RODRIGUEZ, T., DR. AV.",0.0,"VILLAFLOR, AZUCENA",Point (109583.116200524 102006.720699212),-58.358815066481,-34.611136413572,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0051893,1,2020,1,24,2020-01-24 00:00:00,18,18,EL GAUCHO y ALBARELLOS AV.,12,CALLE,SD,EL GAUCHO,0.0,ALBARELLOS AV.,Point (95873.0396271714 105837.596532386),-58.50827710485,-34.576638935434,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0052154,1,2020,1,24,2020-01-24 00:00:00,19,19,DEL LIBERTADOR AV. y REPUBLICA DE LA INDIA,14,AVENIDA,SD,DEL LIBERTADOR AV.,0.0,REPUBLICA DE LA INDIA,Point (104600.499459845 105930.857216023),-58.41316147916,-34.575796696868,CICLISTA,TAXI,CICLISTA-TAXI,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0053548,1,2020,1,26,2020-01-26 00:00:00,22,22,DIRECTORIO AV. y SAN PEDRITO AV.,7,AVENIDA,SD,DIRECTORIO AV.,0.0,SAN PEDRITO AV.,Point (99615.6317294597 99306.931733437),-58.467491887068,-34.635517513682,CICLISTA,CAMIONETA,CICLISTA-CAMIONETA,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0054720,1,2020,1,27,2020-01-27 00:00:00,19,19,INDEPENDENCIA AV. y CASTRO BARROS,5,AVENIDA,SD,INDEPENDENCIA AV.,0.0,CASTRO BARROS,Point (104023.358345486 100895.226410012),-58.419427844853,-34.621192428121,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0057225,1,2020,1,27,2020-01-27 00:00:00,16,16,"OLLEROS y MARTINEZ, ENRIQUE, GRAL.",13,CALLE,SD,OLLEROS,0.0,"MARTINEZ, ENRIQUE, GRAL.",Point (101301.929857816 105537.495001909),-58.449109961958,-34.579351942166,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0057681,1,2020,1,28,2020-01-28 00:00:00,13,13,"OTERO y ARENAL, CONCEPCION",15,CALLE,SD,OTERO,0.0,"ARENAL, CONCEPCION",Point (101003.474917631 104014.918546015),-58.452361075817,-34.593077450977,CICLISTA,OTRO,CICLISTA-OTRO,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0059474,1,2020,1,28,2020-01-28 00:00:00,19,19,VALLE y BARCO CENTENERA DEL,6,CALLE,SD,VALLE,0.0,BARCO CENTENERA DEL,Point (102079.599037489 100474.45881576),-58.44062219281,-34.624991070737,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0059849,1,2020,1,28,2020-01-28 00:00:00,23,23,LINIERS VIRREY y MORENO,5,CALLE,SD,LINIERS VIRREY,0.0,MORENO,Point (104472.702045632 101660.930364258),-58.414532050899,-34.614288229345,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0062249,1,2020,1,29,2020-01-29 00:00:00,15,15,"SANTA FE AV. y SALGUERO, JERONIMO",14,AVENIDA,SD,SANTA FE AV.,0.0,"SALGUERO, JERONIMO",Point (104600.241216231 104687.643355875),-58.413157644063,-34.587003592548,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0062620,1,2020,1,30,2020-01-30 00:00:00,1,1,"PUEYRREDON, HONORIO, DR. AV. y TRES ARROYOS",15,AVENIDA,SD,"PUEYRREDON, HONORIO, DR. AV.",0.0,TRES ARROYOS,Point (101259.92486262 102925.584769692),-58.449564062602,-34.602896908379,CICLISTA,MOTO,CICLISTA-MOTO,x,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0064974,1,2020,1,30,2020-01-30 00:00:00,21,21,AVELLANEDA AV. y PAYSANDU,6,AVENIDA,SD,AVELLANEDA AV.,0.0,PAYSANDU,Point (101314.822181498 101215.882660155),-58.44896303822,-34.61830880553,CICLISTA,TRANSPORTE PUBLICO,CICLISTA-TRANSPORTE PUBLICO,0,0,x,0,x,SD,Lesiones,,,,,,
LC-2020-0065196,1,2020,1,31,2020-01-31 00:00:00,0,0,"ARRIBEÃ‘OS y LARRALDE, CRISOLOGO AV.",13,CALLE,SD,ARRIBEÃ‘OS,0.0,"LARRALDE, CRISOLOGO AV.",Point (100258.943419792 109337.863224376),-58.46047821913,-34.54509431226,CICLISTA,TAXI,CICLISTA-TAXI,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0066977,1,2020,1,31,2020-01-31 00:00:00,16,16,SUPERI y QUESADA,12,CALLE,SD,SUPERI,0.0,QUESADA,Point (99058.9567861462 107706.643217394),-58.47355323361,-34.559798483607,CICLISTA,CAMIONETA,CICLISTA-CAMIONETA,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0067167,1,2020,1,31,2020-01-31 00:00:00,19,19,"DIAZ, CESAR, GRAL. y BUFANO, ALFREDO R.",11,CALLE,SD,"DIAZ, CESAR, GRAL.",0.0,"BUFANO, ALFREDO R.",Point (99133.9952896424 102014.617093156),-58.472741762441,-34.611109047295,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0067534,1,2020,1,31,2020-01-31 00:00:00,22,22,FOREST AV. y DELGADO,15,AVENIDA,SD,FOREST AV.,0.0,DELGADO,Point (100010.25768408 106008.670880519),-58.463187670105,-34.575105299845,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0067645,1,2020,2,1,2020-02-01 00:00:00,23,23,SAN MARTIN AV. y NAZCA AV.,15,AVENIDA,SD,SAN MARTIN AV.,0.0,NAZCA AV.,Point (97283.923361658 103571.945590611),-58.492907996304,-34.597067301924,CICLISTA,TRANSPORTE PUBLICO,CICLISTA-TRANSPORTE PUBLICO,0,0,x,0,x,SD,Lesiones,,,,,,
LC-2020-0068444,1,2020,2,1,2020-02-01 00:00:00,13,13,ZAMUDIO y NUEVA YORK,15,CALLE,SD,ZAMUDIO,0.0,NUEVA YORK,Point (97377.7805421877 104588.352675911),-58.491881640687,-34.587905210107,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0068752,1,2020,2,1,2020-02-01 00:00:00,18,18,"SANTA FE AV. y BULLRICH, INT. AV.",14,AVENIDA,SD,SANTA FE AV.,0.0,"BULLRICH, INT. AV.",Point (103373.451163272 105668.332462549),-58.42653328892,-34.57816791121,CICLISTA,MOTO,CICLISTA-MOTO,x,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0070158,1,2020,2,2,2020-02-02 00:00:00,19,19,PASEO COLON AV. e INDEPENDENCIA AV.,1,AVENIDA,SD,PASEO COLON AV.,0.0,INDEPENDENCIA AV.,Point (108574.827888364 101338.97776274),-58.36980170839,-34.617164579149,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0070202,1,2020,2,2,2020-02-02 00:00:00,21,21,CHIVILCOY y SANTO TOME,10,CALLE,SD,CHIVILCOY,0.0,SANTO TOME,Point (96585.2755515813 101851.824399005),-58.500531095742,-34.612571075624,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0071399,1,2020,2,3,2020-02-03 00:00:00,11,11,"CORRIENTES AV. y JUSTO, JUAN B. AV.",15,AVENIDA,SD,CORRIENTES AV.,0.0,"JUSTO, JUAN B. AV.",Point (101742.819870789 103827.755333883),-58.444301374112,-34.594763673349,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0071596,1,2020,2,3,2020-02-03 00:00:00,13,13,CORRIENTES AV. y MAIPU,1,AVENIDA,SD,CORRIENTES AV.,0.0,MAIPU,Point (107946.900007383 102866.025119772),-58.376662691806,-34.603404177825,CICLISTA,TAXI,CICLISTA-TAXI,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0071904,1,2020,2,3,2020-02-03 00:00:00,7,7,"VERA PEÃ‘ALOZA,  ROSARIO y MOREAU DE JUSTO, ALICIA AV.",1,AVENIDA,SD,"VERA PEÃ‘ALOZA,  ROSARIO",0.0,"MOREAU DE JUSTO, ALICIA AV.",Point (108946.594055409 101239.044758081),-58.365747008631,-34.618062260158,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0071969,1,2020,2,3,2020-02-03 00:00:00,8,8,ZAÃ‘ARTU y DOBLAS,7,CALLE,SD,ZAÃ‘ARTU,0.0,DOBLAS,Point (103355.397937045 98970.5866768025),-58.426703998234,-34.638544236401,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0072988,1,2020,2,4,2020-02-04 00:00:00,23,23,CIUDAD DE LA PAZ y OLAZABAL,13,CALLE,SD,CIUDAD DE LA PAZ,0.0,OLAZABAL,Point (100368.699104616 107601.981505283),-58.459281859565,-34.560742390015,CICLISTA,TRANSPORTE PUBLICO,CICLISTA-TRANSPORTE PUBLICO,0,0,x,0,x,SD,Lesiones,,,,,,
LC-2020-0073866,1,2020,2,4,2020-02-04 00:00:00,10,10,ALMAFUERTE AV. y LOS PATOS,4,AVENIDA,SD,ALMAFUERTE AV.,0.0,LOS PATOS,Point (104671.281501359 98710.0379639631),-58.412350792404,-34.640887838079,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0073922,1,2020,2,4,2020-02-04 00:00:00,11,11,LOYOLA y DARWIN,15,CALLE,SD,LOYOLA,0.0,DARWIN,Point (102075.888937453 104304.918313999),-58.440671771778,-34.590461714663,CICLISTA,CAMIONETA,CICLISTA-CAMIONETA,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0074482,1,2020,2,4,2020-02-04 00:00:00,10,10,CASEROS AV. y MONASTERIO,4,AVENIDA,SD,CASEROS AV.,0.0,MONASTERIO,Point (106174.651984797 99321.0798415945),-58.395958120944,-34.635371810189,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0075849,1,2020,2,5,2020-02-05 00:00:00,7,7,"CARRANZA, ANGEL JUSTINIANO y LOYOLA",15,CALLE,SD,"CARRANZA, ANGEL JUSTINIANO",0.0,LOYOLA,Point (101744.611890085 104632.565127093),-58.444283440513,-34.587508758536,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0079959,1,2020,2,6,2020-02-06 00:00:00,16,16,SANCHEZ DE BUSTAMANTE y FRENCH,2,CALLE,SD,SANCHEZ DE BUSTAMANTE,0.0,FRENCH,Point (105302.711726504 104667.960483536),-58.405500708019,-34.587177674301,CICLISTA,CAMIONETA,CICLISTA-CAMIONETA,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0081304,1,2020,2,7,2020-02-07 00:00:00,17,17,RIVADAVIA AV. y 9 DE JULIO AV.,1,AVENIDA,SD,RIVADAVIA AV.,0.0,9 DE JULIO AV.,Point (107496.276628198 102309.232544445),-58.381570494457,-34.608426700878,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0083974,1,2020,2,8,2020-02-08 00:00:00,13,13,"BALBIN, RICARDO, DR. AV. y ACHA, MARIANO, GRAL.",12,AVENIDA,SD,"BALBIN, RICARDO, DR. AV.",0.0,"ACHA, MARIANO, GRAL.",Point (97441.2874534714 108228.652980351),-58.491178226865,-34.555089991374,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0086596,1,2020,2,10,2020-02-10 00:00:00,11,11,NAZARRE y CUENCA,11,CALLE,SD,NAZARRE,0.0,CUENCA,Point (97125.2537761409 102998.457718351),-58.494639657048,-34.602236527355,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0088144,1,2020,2,10,2020-02-10 00:00:00,17,17,"DIAZ, CESAR, GRAL. y ESTADO PLURINACIONAL DE BOLIVIA",11,CALLE,SD,"DIAZ, CESAR, GRAL.",0.0,ESTADO PLURINACIONAL DE BOLIVIA,Point (98906.4744945862 101869.181556519),-58.475222616667,-34.612419833831,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0090656,1,2020,2,11,2020-02-11 00:00:00,20,20,"VELEZ SARSFIELD AV. y CRUZ, OSVALDO AV.",4,AVENIDA,SD,VELEZ SARSFIELD AV.,0.0,"CRUZ, OSVALDO AV.",Point (106842.488714376 97073.994525969),-58.388656583654,-34.655623632519,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0090686,1,2020,2,11,2020-02-11 00:00:00,18,18,"DIAZ, CNEL. AV. y DEL LIBERTADOR AV.",14,AVENIDA,SD,"DIAZ, CNEL. AV.",0.0,DEL LIBERTADOR AV.,Point (105377.352615124 105410.912745802),-58.404691786574,-34.580479984659,CICLISTA,AUTO,CICLISTA-AUTO,0,x,0,0,x,SD,Lesiones,,,,,,
LC-2020-0090691,1,2020,2,11,2020-02-11 00:00:00,15,15,"BILLINGHURST y CABRERA, JOSE A.",2,CALLE,SD,BILLINGHURST,0.0,"CABRERA, JOSE A.",Point (104500.665900477 103604.245585015),-58.41423732822,-34.596770251375,CICLISTA,TAXI,CICLISTA-TAXI,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0090878,1,2020,2,11,2020-02-11 00:00:00,19,19,NAVARRO y GUALEGUAYCHU,11,CALLE,SD,NAVARRO,0.0,GUALEGUAYCHU,Point (95610.3423987737 102772.578862289),-58.511156144996,-34.604267253978,CICLISTA,SD,CICLISTA-SD,0,0,0,0,x,SD,Lesiones,,,,,,
LC-2020-0091137,1,2020,2,12,2020-02-12 00:00:00,21,21,BULNES y SARMIENTO,5,CALLE,SD,BULNES,0.0,SARMIENTO,Point (104122.468691341 102660.342983076),-58.418355577062,-34.605280559191,CICLISTA,TAXI,CICLISTA-TAXI,0,0,0,0,x,SD,Lesiones,,,,,,
